Platform,Lat,Lon,Elevation (m),Year,Month,Day,Hour (UTC),Minute,Sounding Base (ft),Sounding Top (ft),Sounding Levels,CAPE (J/kg),700-500mb Lapse Rate (C/ft),850-500mb Lapse Rate (C/ft),LI (C),KI (C),Thompson Index (C),Total Totals (C),T 1000mb (C),T 850mb (C),T 700mb (C),T 500mb (C),Convective Temperature (C),1000-700mb RH (%),PWAT (mm),700-500mb Average RH (%),Surface-700mb Average RH (%),Surface-700mb Average Wind Speed (Kts),1000-700mb Average U-Wind Component (Kts),1000-700mb Average V-Wind Component (Kts),1000-850mb Average U-Wind Component (Kts),1000-850mb Average V-Wind Component (Kts),850-700mb Average U-Wind Component (Kts),850-700mb Average V-Wind Component (Kts),850-500mb Average U-Wind Component (Kts),850-500mb Average V-Wind Component (Kts),850mb Average U-Wind Component (Kts),850mb Average V-Wind Component (Kts),700mb Average U-Wind Component (Kts),700mb Average V-Wind Component (Kts),500mb Average U-Wind Component (Kts),500mb Average V-Wind Component (Kts),250mb Average U-Wind Component (Kts),250mb Average V-Wind Component (Kts),0-6km Shear (m/s),0-3km Storm Relative Helicity (m^2/s^2),Wet Bulb Zero Level (ft),Equilibrium Level (ft),Lowest Freezing Level (ft),-10C Level (ft),Cloud Depth Ratio,Energy Helicity Index,Bulk Richardson Number,Microburst Day Potential Index (MDPI),WINDEX
KXMR,28.467,-80.55,3,1990,1,1,12,0,16.4,93999.3,68,0.10705789,-0.001576161,-0.001606818,4.2,5.7,1.5,33.4,18.8,15,6.2,-7.7,17.9,55.1,24.9,11,56.9,29.3,26.5,13.1,25.4,14.4,27.4,12,33,13.9,29,10.6,31.7,14.8,41.8,19.5,72.1,0,76.77529212,92.2,9875.7,1998.637308,14900.23717,20082.70515,23.53224574,6.17E-05,3.63E-05,0.570380183,0
KXMR,28.467,-80.55,3,1990,1,2,17,0,16.4,54363.5,67,0,-0.001896483,-0.001169309,13.1,-10.6,-23.7,28.5,16.6,7.4,7.6,-9.1,3,42.9,17.3,20.4,43.9,8.6,-3.9,-3,-8.3,-1.4,-0.2,-4.3,12.5,-5.3,8,0,5.4,-4.5,36.4,6.4,60.8,-5.3,49.63857929,27.8,5602.2,,13741.8557,19912.01448,,0,0,-0.267679246,0
KXMR,28.467,-80.55,3,1990,1,3,12,0,16.4,54199.5,80,0.477133087,-0.001966818,-0.001847058,7.7,-17.9,-25.6,22.2,19.2,16,7.2,-10.1,12.8,41.3,19.6,11.3,43,8.9,-3,-0.4,-9.9,4.2,2.8,-4.2,10.8,0.9,-3.3,4.8,8.4,-3.1,30.8,2.7,70.7,-6.2,51.46296565,44.3,8939.3,4664.774445,13799.57188,19322.50718,6.383527322,0.000132106,0.000360313,0.18490613,0
KXMR,28.467,-80.55,3,1990,1,4,12,0,16.4,102998.7,101,0,-0.002025964,-0.001432278,11.8,10,-1.8,40.5,22.4,10.8,8.4,-9.5,11,44.8,22.9,16.1,46.8,12.1,6.2,10.2,6.1,7,6.3,12.8,12.1,12.8,11.3,11.3,4.6,17.3,25.9,15,43.3,15.8,52.5031184,-13.1,10267.9,,14971.54018,19589.18801,,0,0,0.582082332,0
KXMR,28.467,-80.55,3,1990,1,5,12,0,16.4,102001.3,93,0,-0.001924214,-0.001739078,2.2,22.1,19.9,46.8,20.4,13.8,6.2,-10.7,16.3,70.9,36.5,36.8,72.3,13.8,7.8,10.3,2.2,12.1,12.6,8.8,20.6,10.6,6.5,11.3,20.3,5.4,30.3,17.5,43.3,-7.6,60.4339856,83.1,10514.3,,13816.09015,18925.92892,,0,0,0.746390738,0
KXMR,28.467,-80.55,3,1990,1,6,16,0,16.4,66000.7,55,93.8347792,-0.002144617,-0.001877719,0.5,24,23.5,41.4,20.4,15.4,7.2,-7.4,19.9,69.8,35.5,28.3,71,24.1,20.6,12.9,18.3,15.4,22.6,10.7,26.4,9.8,20.7,12,25.4,11.8,38.1,9.8,65.8,-12.9,59.49007443,71.8,11232.9,,13209.81978,18872.19775,,0.042108357,0.053027946,0.579870803,7.09382812
KXMR,28.467,-80.55,3,1990,1,7,16,0,16.4,60990.8,28,257.3449815,-0.001555218,-0.001632857,1.7,16.5,14.8,39.2,20,16.4,7,-6.7,20.3,60.7,30.6,16.1,62.5,,,,,,,,,,,,,,,,,,,,10475.9,,14008.29416,14711.70417,,,,1.525237926,0
KXMR,28.467,-80.55,3,1990,1,8,13,0,16.4,98999.3,83,42.77147936,-0.001570901,-0.00151835,1.1,2.4,1.3,39.1,20.6,14.8,7.2,-6.7,20.4,67.4,32.3,12.3,68.6,31.9,26.8,18.1,25.2,14.1,28.3,21.7,34,28.9,26.1,18.3,27,32.2,45.3,38,45.1,31.6,100.2077966,-51.8,8867.6,26662.24299,14576.77212,20462.73183,0.533450702,-0.013847266,0.008518855,0.613240121,0
KXMR,28.467,-80.55,3,1990,1,9,12,0,16.4,101378,122,0,-0.001561616,-0.001645065,15.1,17.5,2.4,35.2,12.2,13.4,4,-9.7,7.5,51.7,19.5,27.8,54.3,24.2,21.7,10.9,12,4.7,30.1,16.3,35.6,21,22.9,19.2,32,18.5,47.6,27.5,71.4,26,102.3695749,-14.9,10448.4,,13257.87444,19252.51593,,0,0,-0.060008878,0
KXMR,28.467,-80.55,3,1990,1,10,12,0,16.4,110000,89,0,-0.001889256,-0.001750082,11.6,-23.3,-34.9,19,12,12.2,4.2,-12.3,11.8,19.9,9.5,7.8,24.5,21.5,20.3,-3.4,16.6,-10.4,23.5,2.6,29.9,2.6,18.8,-1.6,28.5,5,45.4,8,86.9,23.3,82.21513537,-76.9,7396.6,,13204.56471,17992.96962,,0,0,-0.137794562,0
