Platform,Lat,Lon,Elevation (m),Year,Month,Day,Hour (UTC),Minute,Sounding Base (ft),Sounding Top (ft),Sounding Levels,CAPE (J/kg),700-500mb Lapse Rate (C/ft),850-500mb Lapse Rate (C/ft),LI (C),KI (C),Thompson Index (C),Total Totals (C),T 1000mb (C),T 850mb (C),T 700mb (C),T 500mb (C),Convective Temperature (C),1000-700mb RH (%),PWAT (mm),700-500mb Average RH (%),Surface-700mb Average RH (%),Surface-700mb Average Wind Speed (Kts),1000-700mb Average U-Wind Component (Kts),1000-700mb Average V-Wind Component (Kts),1000-850mb Average U-Wind Component (Kts),1000-850mb Average V-Wind Component (Kts),850-700mb Average U-Wind Component (Kts),850-700mb Average V-Wind Component (Kts),850-500mb Average U-Wind Component (Kts),850-500mb Average V-Wind Component (Kts),850mb Average U-Wind Component (Kts),850mb Average V-Wind Component (Kts),700mb Average U-Wind Component (Kts),700mb Average V-Wind Component (Kts),500mb Average U-Wind Component (Kts),500mb Average V-Wind Component (Kts),250mb Average U-Wind Component (Kts),250mb Average V-Wind Component (Kts),0-6km Shear (m/s),0-3km Storm Relative Helicity (m^2/s^2),Wet Bulb Zero Level (ft),Equilibrium Level (ft),Lowest Freezing Level (ft),-10C Level (ft),Cloud Depth Ratio,Energy Helicity Index,Bulk Richardson Number,Microburst Day Potential Index (MDPI),WINDEX,Datetime,Severe
KXMR,28.48,-80.55,5,2005,5,1,16,0,16.4,85000.0,124,651.0676395,-0.001603612,-0.001961654,-2.7,32.6,35.3,44.4,23.8,18.2,4.6,-9.5,18.0,68.5,37.8,46.2,68.7,23.3,15.7,16.1,14.7,24.2,16.5,9.1,18.5,4.9,14.9,17.7,12.1,12.1,33.5,-5.9,50.8,18.5,38.9156768,30.3,12526.2,,14736.34853,19366.18336,,0.123295934,0.859818786,0.581551546,4.976881047,2005-05-01,0
KXMR,28.48,-80.55,5,2005,5,2,15,0,16.4,102526.2,104,1236.944904,-0.001537094,-0.001711482,-2.5,31.1,33.6,44.8,21.8,14.6,4.0,-9.5,20.1,88.1,40.7,37.1,88.1,10.8,9.9,1.0,3.0,-1.4,15.9,3.1,24.0,4.2,5.0,-0.4,21.2,5.7,26.1,15.1,74.1,13.1,39.51258409,-2.9,10876.7,38954.55671,12726.96723,19329.80422,0.30744297,-0.022419626,1.584562906,0.695408732,9.944281066,2005-05-02,0
KXMR,28.48,-80.55,5,2005,5,3,15,0,16.4,102362.2,129,189.0914207,-0.00211985,-0.001889403,-1.5,17.1,18.6,47.0,22.0,13.6,5.6,-12.9,14.6,56.2,29.4,33.8,56.6,14.2,10.5,0.3,-0.2,-1.8,19.7,2.1,21.7,2.8,13.9,-1.2,15.4,4.1,31.9,-8.6,62.0,16.6,52.5225568,-9.5,8641.4,28383.60971,12647.99873,17866.63443,0.327136221,-0.011227303,0.137091365,0.591578828,9.765966098,2005-05-03,0
KXMR,28.48,-80.55,5,2005,5,4,15,0,16.4,102526.2,130,1103.453883,-0.002067796,-0.001841456,-4.8,34.2,39.0,51.5,21.8,13.6,5.8,-12.3,19.9,90.7,44.4,51.7,90.6,16.1,3.3,9.5,-7.4,11.2,12.6,8.0,16.9,7.4,7.5,13.0,8.8,1.6,21.0,9.8,75.0,13.2,21.5377472,179.8,11757.4,38818.31979,13874.07584,18271.56854,0.329786959,1.240006301,4.757552974,0.641265461,3.611650252,2005-05-04,0
KXMR,28.48,-80.55,5,2005,5,5,16,0,16.4,102591.9,127,3118.066549,-0.001728956,-0.001946442,-8.1,37.8,45.9,50.3,22.8,15.2,3.0,-12.1,22.6,90.3,46.8,72.4,90.3,21.7,13.5,17.1,11.0,21.5,15.6,13.3,22.6,16.3,12.0,17.2,18.2,10.5,27.9,19.5,46.2,16.8,49.46773748,90.9,11484.8,45726.02901,12375.46937,18224.71095,0.261205226,1.771451558,2.548421621,0.765857813,12.61357247,2005-05-05,0
KXMR,28.48,-80.55,5,2005,5,6,15,0,16.4,102624.7,113,72.37863737,-0.001837816,-0.001682502,0.2,17.7,17.5,42.2,17.8,8.8,1.4,-14.5,14.7,74.2,26.3,28.0,74.5,16.4,12.9,-7.4,6.9,-11.7,18.0,-3.7,25.3,-3.3,9.9,-9.9,23.7,4.2,37.7,-10.1,64.9,-5.7,58.5678992,-80.8,8168.7,26514.01238,11403.74731,16938.06031,0.385131207,-0.036551212,0.042200841,0.364449376,6.220504727,2005-05-06,0
KXMR,28.48,-80.55,5,2005,5,7,15,0,16.4,102296.6,97,32.73738356,-0.001743342,-0.001435109,3.7,-3.9,-7.6,26.2,19.8,10.0,5.2,-10.1,14.0,46.8,21.0,21.7,47.7,10.8,-1.1,-5.6,-9.3,-2.6,6.1,-8.2,15.1,-12.8,-6.1,-3.5,13.3,-19.0,28.3,-10.3,49.4,-13.2,41.35713984,24.3,7073.0,7237.411342,13334.43936,19069.92251,2.394826599,0.00497199,0.038280092,0.291397886,4.565927057,2005-05-07,0
KXMR,28.48,-80.55,5,2005,5,8,15,0,16.4,90000.0,101,7.951302306,-0.002087515,-0.001476564,4.8,-4.9,-9.7,36.4,21.4,9.4,7.0,-11.3,10.5,43.8,19.7,22.6,44.2,9.2,6.1,-3.9,3.2,0.2,8.6,-7.5,14.7,-9.5,-1.8,-6.8,14.4,-6.7,25.4,-9.2,38.9,-3.4,43.29056686,-27.8,7314.2,6543.667672,13571.97099,18607.06448,5.286522835,-0.001381539,0.008485584,0.104707155,4.102245001,2005-05-08,0
KXMR,28.48,-80.55,5,2005,5,9,15,0,16.4,92001.3,91,0.0,-0.001880075,-0.001557061,6.0,2.1,-3.9,32.8,22.0,12.2,6.8,-9.7,7.1,40.7,18.8,12.2,41.0,8.2,0.2,1.1,0.5,0.8,0.0,1.5,5.9,-6.4,-17.3,8.0,9.2,-7.8,7.8,-7.8,27.6,-4.9,5.497821587,66.9,8999.2,,14088.74081,19278.25873,,0.0,0,0.158131005,5.390122072,2005-05-09,0
KXMR,28.48,-80.55,5,2005,5,10,15,0,16.4,102329.4,111,-310.9778863,-0.002190248,-0.001750082,0.5,1.1,0.6,44.0,22.0,11.6,6.2,-12.9,12.5,46.3,22.9,17.2,46.9,5.4,2.5,1.1,1.3,1.3,3.4,1.0,6.7,-2.3,-6.9,1.2,6.3,-3.0,13.9,-1.2,38.0,-3.3,25.41372236,24.7,7718.0,23156.27642,13045.02656,17792.80488,0.443817511,-0.048007211,-0.96299258,0.358455464,8.437954313,2005-05-10,0
